rescue_bucket,strategy,n,tp1_first,sl_first,timeout,no_ticks,sum_sim_pnl_pct,sum_mfe_pct,sum_mae_pct,valid,avg_sim_pnl_pct,avg_mfe_pct,avg_mae_pct,tp1_first_rate,false_cancel_rate
BID_GATE_RESCUE,S15_MOMENTUM_ALIGN,3,0,0,2,1,3.967,9.123000000000001,-6.934,2,1.984,4.562,-3.467,0.0,100.0
BID_GATE_RESCUE,S1_GAP_OPEN,1,1,0,0,0,3.142,9.55,-2.218,1,3.142,9.55,-2.218,100.0,100.0
RULE_RESCUE,S1_GAP_OPEN,1,0,1,0,0,-1.799,13.228,-8.73,1,-1.799,13.228,-8.73,0.0,0.0
RULE_RESCUE,S7_ICHIMOKU_BREAKOUT,8,2,0,4,2,24.122,36.982,8.411999999999999,6,4.02,6.164,1.402,33.3,100.0
S8_ZONE_RESCUE,S8_GOLDEN_CROSS,11,4,0,5,2,63.717999999999996,114.40800000000002,-9.517,9,7.08,12.712,-1.057,44.4,100.0
